Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|010100|комплектация|изготовление|контроль|010101|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|060101|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010303|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|010104|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль|010402|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль
        Кольцо|        КТ.1408182.11.03.004|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000649|1|7.79||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.005|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064A|1|10.68||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Кольцо|        КТ.1408182.11.03.006|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064B|1|8.41||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.007|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064C|1|8.54||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка прижимная|    КТ.1408182.11.05|6||||0x10800040A|1|9.8||12|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||Время: 3.1 мин.$Операции:$015||||Время: 13.1 мин.$Операции:$020||||Время: 13.1 мин.$Операции:$025||||||||||||||||||||||||Время: 13.1 мин.$Операции:$030|||||||||||
        Сектор|        КТ.1408182.11.05.001|36|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800064D|1|1.63||72|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка прижимная|    КТ.1408182.11.05|6||||0x10800040B|1|9.8||12|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||Время: 3.1 мин.$Операции:$015||||Время: 13.1 мин.$Операции:$020||||Время: 13.1 мин.$Операции:$025||||||||||||||||||||||||Время: 13.1 мин.$Операции:$030|||||||||||
        Сектор|        КТ.1408182.11.05.001|36|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000653|1|1.63||72|||||Время: 13.1 мин.$Операции:$005|36 шт. (полный компл.)|||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка опорная|    КТ.1408182.11.06|6||||0x10800040C|1|9.68||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|36|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000659|1|1.61||72|||||Время: 13.1 мин.$Операции:$005|36 шт. (полный компл.)|||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка опорная|    КТ.1408182.11.06|6||||0x10800040D|1|9.68||12|||||Время: 13.1 мин.$Операции:$005|6 шт. (полный компл.)|||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|36|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065F|1|1.61||72|||||Время: 13.1 мин.$Операции:$005|36 шт. (полный компл.)|Полный компл.$3233 Завершен||Время: 2.1 мин.$Операции:$010|36 шт. (полный компл.)|Полный компл.$3235 Завершен||Время: 3.1 мин.$Операции:$015|36 шт. (полный компл.)|Полный компл.$3237 Завершен||||||||||Время: 13.1 мин.$Операции:$020|36 шт. (полный компл.)|Полный компл.$3239 Завершен||||||||||||||||||||||Время: 13.1 мин.$Операции:$025|36 шт. (полный компл.)|Полный компл.$3241 Завершен||Время: 13.1 мин.$Операции:$030|36 шт. (полный компл.)|Полный компл.$3243 Завершен|
        Сектор|        КТ.1408182.11.06.001|36|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800165F|1|1.61||72|||||Время: 13.1 мин.$Операции:$005|36 шт. (полный компл.)|Полный компл.$3234 Завершен||Время: 2.1 мин.$Операции:$010|36 шт. (полный компл.)|Полный компл.$3236 Завершен||Время: 3.1 мин.$Операции:$015|36 шт. (полный компл.)|Полный компл.$3238 Завершен||||||||||Время: 13.1 мин.$Операции:$020|36 шт. (полный компл.)|Полный компл.$3240 Завершен||||||||||||||||||||||Время: 13.1 мин.$Операции:$025|36 шт. (полный компл.)|Полный компл.$3242 Завершен|||||
    Штанга транспортировочная|    КТ.1408182.11.07|36|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800040E|1|6.07||36|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |144|Шайба C.16.01.016 ГОСТ 11371-78|||0x108000414|1|0.0109|+|144|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |36|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||0x1080004D4|1|0.116|+|36|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |36|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x108000534|1|0.039|+|72|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |36|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C4|1|0.132|+|36|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |36|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DC|1|0.039|+|72|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
