"pid","datname","usename","application_name","client_addr","client_port","state","connection_age","state_age","transaction_age","wait_event_type","wait_event","last_query"
49808,"postgres","postgres","mes_pg_cache","127.0.0.1",54451,"idle","6 days 05:34:25.328927","00:00:09.993738",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.WidgetEvents')"
10216,"postgres","postgres","mes_pg_cache","127.0.0.1",54457,"idle","6 days 05:34:24.219758","00:01:54.420892",NULL,"Client","ClientRead","DELETE FROM admin_request_cache_meta WHERE request_key = 'bdeaaf88066223aa54e1599d47648b163a6da5b5a24f002c1d1830f41c4fed8f'"
36952,"postgres","postgres","mes_pg_cache","127.0.0.1",54462,"idle","6 days 05:34:23.672469","00:00:01.249522",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.WidgetEvents')"
35948,"postgres","postgres","mes_pg_cache","127.0.0.1",54463,"idle","6 days 05:34:23.669213","00:00:05.168071",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.WidgetEvents')"
15968,"postgres","postgres","mes_pg_cache","127.0.0.1",54619,"idle","6 days 05:33:52.496935","00:00:29.343821",NULL,"Client","ClientRead","
        SELECT
            request_key,
            db_key,
            db_path,
            sql_text,
            params_json,
            options_json,
            body_hash,
            result_sta"
48212,"postgres","postgres","mes_pg_cache","127.0.0.1",54664,"idle","6 days 05:33:44.664837","00:00:08.067366",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
46328,"postgres","postgres","mes_pg_cache","127.0.0.1",54706,"idle","6 days 05:33:29.779313","00:01:54.466816",NULL,"Client","ClientRead","DELETE FROM admin_request_cache_meta WHERE request_key = '39f90835fd55295376a3e0e868463d4d52d87c12c291099a18075d0bb8d0e0f9'"
50264,"postgres","postgres","mes_pg_cache","127.0.0.1",54710,"idle","6 days 05:33:29.200229","00:01:54.454522",NULL,"Client","ClientRead","DELETE FROM admin_request_cache_meta WHERE request_key = 'ed80a1c660efe323a391f392d5549fb35319c41a973e95649e4ef70c67d4f96a'"
10544,"postgres","postgres","mes_pg_cache","127.0.0.1",54758,"idle","6 days 05:33:07.433742","00:01:53.090758",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
48748,"postgres","postgres","mes_pg_cache","127.0.0.1",54761,"idle","6 days 05:33:06.82461","00:01:54.479465",NULL,"Client","ClientRead","DELETE FROM admin_request_cache_meta WHERE request_key = 'bdeaaf88066223aa54e1599d47648b163a6da5b5a24f002c1d1830f41c4fed8f'"
35372,"postgres","postgres","mes_pg_cache","127.0.0.1",54778,"idle","6 days 05:32:57.739221","00:01:54.431512",NULL,"Client","ClientRead","DELETE FROM admin_request_cache_meta WHERE request_key = '39f90835fd55295376a3e0e868463d4d52d87c12c291099a18075d0bb8d0e0f9'"
45992,"postgres","postgres","mes_pg_cache","127.0.0.1",54923,"idle","6 days 05:32:15.993659","00:00:02.294383",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
46120,"postgres","postgres","pgAdmin 4 - DB:postgres","::1",52914,"idle","6 days 02:18:57.561872","6 days 02:18:57.403378",NULL,"Client","ClientRead","SELECT CASE
    WHEN (SELECT count(extname) FROM pg_catalog.pg_extension WHERE extname='bdr') > 0
    THEN 'pgd'
    WHEN (SELECT COUNT(*) FROM pg_replication_slots) > 0
    THEN 'log'
    ELSE NULL
E"
11084,"postgres","postgres","pgAdmin 4 - CONN:15867","::1",52917,"idle","6 days 02:18:57.37551","1 day 03:03:58.318673",NULL,"Client","ClientRead","SELECT oid, pg_catalog.format_type(oid, NULL) AS typname FROM pg_catalog.pg_type WHERE oid = ANY($1) ORDER BY oid;"
51176,"postgres","postgres","pgAdmin 4 - CONN:2200532","::1",53052,"idle","6 days 02:18:29.309382","6 days 02:18:29.228646",NULL,"Client","ClientRead","
        SELECT
            roles.oid as id, roles.rolname as name,
            roles.rolsuper as is_superuser,
            CASE WHEN roles.rolsuper THEN true ELSE roles.rolcreaterole END as
         "
29776,"postgres","postgres","pgAdmin 4 - CONN:2200532","::1",53186,"idle","6 days 02:18:13.883017","6 days 02:18:12.26831",NULL,"Client","ClientRead","SELECT r.rolname, r.rolsuper, r.rolinherit,
  r.rolcreaterole, r.rolcreatedb, r.rolcanlogin,
  r.rolconnlimit, r.rolvaliduntil
, r.rolreplication
, r.rolbypassrls
FROM pg_catalog.pg_roles r
WHERE r.ro"
50112,"postgres","postgres","mes_pg_cache","127.0.0.1",58311,"idle","5 days 23:32:51.629713","5 days 19:50:33.65976",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
57272,"postgres","postgres","pgAdmin 4 - CONN:500933","::1",59413,"idle","3 days 23:40:45.573107","3 days 23:37:18.601183",NULL,"Client","ClientRead","SELECT
    nsp.oid,
    nsp.nspname as name,
    pg_catalog.has_schema_privilege(nsp.oid, 'CREATE') as can_create,
    pg_catalog.has_schema_privilege(nsp.oid, 'USAGE') as has_usage,
    des.descripti"
49708,"postgres","postgres","pgAdmin 4 - CONN:500933","::1",59414,"idle","3 days 23:40:45.572403","3 days 23:40:45.130958",NULL,"Client","ClientRead","
        SELECT
            roles.oid as id, roles.rolname as name,
            roles.rolsuper as is_superuser,
            CASE WHEN roles.rolsuper THEN true ELSE roles.rolcreaterole END as
         "
50276,"postgres","postgres","pgAdmin 4 - CONN:3431524","::1",60199,"idle","3 days 23:37:12.99468","3 days 23:35:28.74874",NULL,"Client","ClientRead","select '' = 0"
78456,"postgres","postgres","pgAdmin 4 - DB:postgres","192.168.17.140",60133,"idle","02:28:37.126916","02:28:21.382495",NULL,"Client","ClientRead","/*pga4dash*/
SELECT 'session_stats' AS chart_name, pg_catalog.row_to_json(t) AS chart_data
FROM (SELECT
   (SELECT count(*) FROM pg_catalog.pg_stat_activity WHERE datname = (SELECT datname FROM pg_cat"
53684,"postgres","postgres","pgAdmin 4 - CONN:2596227","192.168.17.140",60216,"active","02:28:17.8964","-00:00:00.000003","00:00:00",NULL,NULL,"SELECT name, setting
FROM pg_settings
WHERE name IN (
    'max_connections',
    'reserved_connections',
    'superuser_reserved_connections'
);

SELECT
    usename,
    application_name,
    client_a"
81276,"postgres","postgres","MKart","192.168.17.83",56536,"idle","00:29:44.720255","00:00:23.018906",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
77820,"postgres","postgres","MK_srv","192.168.100.135",61115,"idle","00:28:25.602271","00:00:01.137831",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
68912,"postgres","postgres","MK_srv","192.168.100.135",61137,"idle","00:28:22.635235","00:00:00.54285",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
78612,"postgres","postgres","MK_srv","192.168.100.135",61739,"idle","00:26:52.049667","00:00:01.076191",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
76540,"postgres","postgres","Files_srv","192.168.100.135",61804,"idle","00:26:45.329368","00:00:03.192473",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
79968,"postgres","postgres","Files_srv","192.168.100.135",61974,"idle","00:26:24.144326","00:00:03.235157",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
78852,"postgres","postgres","MK_srv","192.168.100.135",62235,"idle","00:25:04.76229","00:00:01.106809",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
15264,"postgres","postgres","KPlan_srv","192.168.100.135",62461,"idle","00:24:29.073296","00:00:01.448059",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
77760,"postgres","postgres","MK_srv","192.168.100.135",62520,"idle","00:24:10.191909","00:00:00.832934",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
79472,"postgres","postgres","MK_srv","192.168.100.135",62522,"idle","00:24:09.969373","00:00:00.765135",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
76252,"postgres","postgres","Nomen_srv","192.168.100.135",62613,"idle","00:23:33.863408","00:01:24.404392",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
81484,"postgres","postgres","Nomen_srv","192.168.100.135",62665,"idle","00:23:20.950856","00:01:24.352646",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
73120,"postgres","postgres","MK_srv","192.168.100.135",62670,"idle","00:23:19.061777","00:00:00.783545",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
79212,"postgres","postgres","Nomen_srv","192.168.100.135",62681,"idle","00:23:15.858967","00:01:24.388516",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
78760,"postgres","postgres","Files_srv","192.168.100.135",62726,"idle","00:22:57.317348","00:00:01.255189",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
78572,"postgres","postgres","Files_srv","192.168.100.135",62772,"idle","00:22:39.280731","00:00:03.015496",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
74644,"postgres","postgres","MK_srv","192.168.100.135",62863,"idle","00:22:08.876702","00:00:33.008839",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
69300,"postgres","postgres","MK_srv","192.168.100.135",62907,"idle","00:21:53.786551","00:00:05.16886",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
80200,"postgres","postgres","Res_xml_srv","192.168.100.135",62932,"idle","00:21:49.130361","-00:00:00.188267",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
73596,"postgres","postgres","Nomen_srv","192.168.100.135",64034,"idle","00:17:19.492172","00:01:23.579909",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
72276,"postgres","postgres","TehKart","192.168.19.249",62756,"idle","00:16:56.931269","00:06:01.693194",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
68848,"postgres","postgres","Files_srv","192.168.100.135",64287,"idle","00:16:08.280788","00:00:03.891179",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
64580,"postgres","postgres","MKart","192.168.17.107",62307,"idle","00:15:51.097705","00:00:03.196527",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
79184,"postgres","postgres","MKart","192.168.19.83",49218,"idle","00:15:45.655498","00:00:55.34085",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
81588,"postgres","postgres","csv","192.168.20.66",49158,"idle","00:15:37.844288","00:00:14.33334",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
77048,"postgres","postgres","MKart","192.168.17.91",54792,"idle","00:14:21.511202","00:07:16.45224",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
80292,"postgres","postgres","KPlan_srv","192.168.100.135",65375,"idle","00:12:10.539057","00:00:08.367136",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
57632,"postgres","postgres","Files_srv","192.168.100.135",65398,"idle","00:12:01.687842","00:00:05.171573",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
73744,"postgres","postgres","KPlan_srv","192.168.100.135",65415,"idle","00:11:56.452532","00:00:01.539566",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
73036,"postgres","postgres","API_server","192.168.100.135",49230,"idle","00:11:31.395979","00:00:02.673272",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
74128,"postgres","postgres","KPlan_srv","192.168.100.135",49347,"idle","00:11:05.414241","00:01:20.448476",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
74740,"postgres","postgres","KPlan_srv","192.168.100.135",49435,"idle","00:10:47.749185","00:00:07.961991",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
77476,"postgres","postgres","KPlan_srv","192.168.100.135",49439,"idle","00:10:47.657566","00:00:29.374726",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
69168,"postgres","postgres","KPlan_srv","192.168.100.135",49599,"idle","00:10:14.82447","00:00:08.197578",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
80364,"postgres","postgres","DSE_srv","192.168.100.135",50304,"idle","00:08:11.755037","00:00:03.415624",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
80532,"postgres","postgres","Reiting","192.168.100.135",50325,"idle","00:08:05.93066","00:06:31.436065",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
78940,"postgres","postgres","TehKart","192.168.19.83",49399,"idle","00:08:01.87596","00:01:57.595715",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
79220,"postgres","postgres","Nomen_srv","192.168.100.135",50392,"idle","00:07:51.922397","00:01:24.337949",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
75004,"postgres","postgres","Nomen_srv","192.168.100.135",50454,"idle","00:07:42.07404","00:01:24.38123",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
81592,"postgres","postgres","vipoln","192.168.22.37",56265,"idle","00:07:39.714209","00:06:52.759931",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
